NM_MUNICIP,CD_GEOCMU,CONT
CONCEIÇÃO DO LAGO-AÇU,2103554,512
COROATÁ,2103604,513
CURURUPU,2103703,514
DAVINÓPOLIS,2103752,515
DOM PEDRO,2103802,516
DUQUE BACELAR,2103901,517
ESPERANTINÓPOLIS,2104008,518
ESTREITO,2104057,519
FEIRA NOVA DO MARANHÃO,2104073,520
FERNANDO FALCÃO,2104081,521
FORMOSA DA SERRA NEGRA,2104099,522
FORTALEZA DOS NOGUEIRAS,2104107,523
FORTUNA,2104206,524
GODOFREDO VIANA,2104305,525
GONÇALVES DIAS,2104404,526
GOVERNADOR ARCHER,2104503,527
GOVERNADOR EDISON LOBÃO,2104552,528
GOVERNADOR EUGÊNIO BARROS,2104602,529
GOVERNADOR LUIZ ROCHA,2104628,530
GOVERNADOR NEWTON BELLO,2104651,531
GOVERNADOR NUNES FREIRE,2104677,532
GRAÇA ARANHA,2104701,533
GRAJAÚ,2104800,534
GUIMARÃES,2104909,535
HUMBERTO DE CAMPOS,2105005,536
ICATU,2105104,537
IGARAPÉ DO MEIO,2105153,538
IGARAPÉ GRANDE,2105203,539
IMPERATRIZ,2105302,540
ITAIPAVA DO GRAJAÚ,2105351,541
ITAPECURU MIRIM,2105401,542
ITINGA DO MARANHÃO,2105427,543
JATOBÁ,2105450,544
JENIPAPO DOS VIEIRAS,2105476,545
JOÃO LISBOA,2105500,546
JOSELÂNDIA,2105609,547
JUNCO DO MARANHÃO,2105658,548
LAGO DA PEDRA,2105708,549
LAGO DO JUNCO,2105807,550
LAGO VERDE,2105906,551
LAGOA DO MATO,2105922,552
LAGO DOS RODRIGUES,2105948,553
LAGOA GRANDE DO MARANHÃO,2105963,554
LAJEADO NOVO,2105989,555
LIMA CAMPOS,2106003,556
LORETO,2106102,557
LUÍS DOMINGUES,2106201,558
MAGALHÃES DE ALMEIDA,2106300,559
MARACAÇUMÉ,2106326,560
MARAJÁ DO SENA,2106359,561
MARANHÃOZINHO,2106375,562
MATA ROMA,2106409,563
MATINHA,2106508,564
MATÕES,2106607,565
MATÕES DO NORTE,2106631,566
MILAGRES DO MARANHÃO,2106672,567
MIRADOR,2106706,568
MIRANDA DO NORTE,2106755,569
MIRINZAL,2106805,570
MONÇÃO,2106904,571
MONTES ALTOS,2107001,572
MORROS,2107100,573
NINA RODRIGUES,2107209,574
NOVA COLINAS,2107258,575
NOVA IORQUE,2107308,576
NOVA OLINDA DO MARANHÃO,2107357,577
OLHO D'ÁGUA DAS CUNHÃS,2107407,578
OLINDA NOVA DO MARANHÃO,2107456,579
PAÇO DO LUMIAR,2107506,580
PALMEIRÂNDIA,2107605,581
PARAIBANO,2107704,582
PARNARAMA,2107803,583
PASSAGEM FRANCA,2107902,584
PASTOS BONS,2108009,585
PAULINO NEVES,2108058,586
PAULO RAMOS,2108108,587
PEDREIRAS,2108207,588
PEDRO DO ROSÁRIO,2108256,589
PENALVA,2108306,590
PERI MIRIM,2108405,591
PERITORÓ,2108454,592
PINDARÉ-MIRIM,2108504,593
PINHEIRO,2108603,594
PIO XII,2108702,595
PIRAPEMAS,2108801,596
POÇÃO DE PEDRAS,2108900,597
PORTO FRANCO,2109007,598
PORTO RICO DO MARANHÃO,2109056,599
PRESIDENTE DUTRA,2109106,600
PRESIDENTE JUSCELINO,2109205,601
PRESIDENTE MÉDICI,2109239,602
PRESIDENTE SARNEY,2109270,603
PRESIDENTE VARGAS,2109304,604
PRIMEIRA CRUZ,2109403,605
RAPOSA,2109452,606
RIACHÃO,2109502,607
RIBAMAR FIQUENE,2109551,608
ROSÁRIO,2109601,609
SAMBAÍBA,2109700,610
SANTA FILOMENA DO MARANHÃO,2109759,611
SANTA HELENA,2109809,612
SANTA INÊS,2109908,613
SANTA LUZIA,2110005,614
SANTA LUZIA DO PARUÁ,2110039,615
SANTA QUITÉRIA DO MARANHÃO,2110104,616
SANTA RITA,2110203,617
SANTANA DO MARANHÃO,2110237,618
SANTO AMARO DO MARANHÃO,2110278,619
SANTO ANTÔNIO DOS LOPES,2110302,620
SÃO BENEDITO DO RIO PRETO,2110401,621
SÃO BENTO,2110500,622
SÃO BERNARDO,2110609,623
SÃO DOMINGOS DO AZEITÃO,2110658,624
SÃO DOMINGOS DO MARANHÃO,2110708,625
SÃO FÉLIX DE BALSAS,2110807,626
SÃO FRANCISCO DO BREJÃO,2110856,627
SÃO FRANCISCO DO MARANHÃO,2110906,628
SÃO JOÃO BATISTA,2111003,629
SÃO JOÃO DO CARÚ,2111029,630
SÃO JOÃO DO PARAÍSO,2111052,631
SÃO JOÃO DO SOTER,2111078,632
SÃO JOÃO DOS PATOS,2111102,633
SÃO JOSÉ DE RIBAMAR,2111201,634
SÃO JOSÉ DOS BASÍLIOS,2111250,635
SÃO LUÍS,2111300,636
SÃO LUÍS GONZAGA DO MARANHÃO,2111409,637
SÃO MATEUS DO MARANHÃO,2111508,638
SÃO PEDRO DA ÁGUA BRANCA,2111532,639
SÃO PEDRO DOS CRENTES,2111573,640
SÃO RAIMUNDO DAS MANGABEIRAS,2111607,641
SÃO RAIMUNDO DO DOCA BEZERRA,2111631,642
SÃO ROBERTO,2111672,643
SÃO VICENTE FERRER,2111706,644
SATUBINHA,2111722,645
SENADOR ALEXANDRE COSTA,2111748,646
SENADOR LA ROCQUE,2111763,647
SERRANO DO MARANHÃO,2111789,648
SÍTIO NOVO,2111805,649
SUCUPIRA DO NORTE,2111904,650
SUCUPIRA DO RIACHÃO,2111953,651
TASSO FRAGOSO,2112001,652
TIMBIRAS,2112100,653
TIMON,2112209,654
TRIZIDELA DO VALE,2112233,655
TUFILÂNDIA,2112274,656
TUNTUM,2112308,657
TURIAÇU,2112407,658
TURILÂNDIA,2112456,659
TUTÓIA,2112506,660
URBANO SANTOS,2112605,661
VARGEM GRANDE,2112704,662
VIANA,2112803,663
VILA NOVA DOS MARTÍRIOS,2112852,664
VITÓRIA DO MEARIM,2112902,665
VITORINO FREIRE,2113009,666
ZÉ DOCA,2114007,667
ACAUÃ,2200053,668
AGRICOLÂNDIA,2200103,669
ÁGUA BRANCA,2200202,670
ALAGOINHA DO PIAUÍ,2200251,671
ALEGRETE DO PIAUÍ,2200277,672
ALTO LONGÁ,2200301,673
ALTOS,2200400,674
